"Date","Title","Content","qwen_lora2_情绪提取"
"2019-12-27 09:16:14","传化智联债务陡增屡售资产减负 拟8158万甩卖亏损子公司","主营化工业务的传化智联(002010.SZ)巨资并购传化物流后，在物流业务扩张的道路上狂飙。自去年债务激增后，公司才开始不断资本运作减负。12月25日，传化智联子公司传化物流拟将持有的下属公司众成供应链100%股权、沈阳传化100%股权转让给控股股东全资子公司海源商贸，转让价格合计8158.91万元。上述两家子公司不仅持续亏损，而且债务也较重。此次转让，公司除了获得股权对价，还可以回笼3.13亿账款。2015年传化智联耗资200亿元，从控股股东手中收购传化物流，此后又收购了数家物流公司。2018年底公司短期借款41.06亿元，两年增长5.29倍，于是公司先后筹划增发募资、出售房产子公司、引入工银投资增资等措施才不断降低了债务，此次出售资产或是公司减负手段的延续。长江商报记者发现，2017-2019年前三季度传化智联获得政府补助等其他收益分别为7.55亿元、13.66亿元、6.91亿元，占到了公司同期大半利润，而同期财务费用也更是增长迅猛，近一年的资本运作之后，传化智联的债务问题或有望缓解。拟8158万甩卖两亏损子公司12月25日，传化智联控股子公司传化物流拟将持有的下属公司杭州众成供应链管理有限公司(以下简称“众成供应链”)100%股权、沈阳传化公路港物流有限公司(以下简称“沈阳传化”)100%股权转让给海源商贸，转让价格分别为7562.66万元、596.25万元。本次交易完成后，公司将不再持有众成供应链、沈阳传化的股权。经公司测算，本次股权转让约产生投资损失574.40万元，而这两家子公司持续亏损或是此次上市公司亏本甩卖的主要原因。众成供应链2018年和2019年1-9月净利润分别亏损409.91万元、893.38万元，同期沈阳传化净利润分别亏损108.56万元、431.54万元，截至2019年三季度末，众成供应链与沈阳传化的负债总额分别达到5.94亿元、1.39亿元。此次转让不仅可以止损也可以回笼部分资金。截止公告日，众成供应链应付公司及子公司的款项净额为2.29亿元，沈阳传化应付公司的款项净额为8360.70万元，海源商贸承诺在2019年12月31日前支持并促使目标公司及时向上市公司履行上述款项的偿付义务。债务陡增后屡出售资产减负传化智联目前主营业务是传化网智能物流业务与化工业务。2016年和2017年上市传化智联物流业务营收分别为38.92亿元、138.18亿元，同比增长229.88%、225.06%。不过到了2018年，物流营收仅增长0.42%。截止2019年上半年，传化智联物流业务营收63.60亿元，同比下降20.4%。","该文本情感是消极的。"
"2019-12-26 02:29:58","传化智联剥离亏损资产 拟转让两子公司","12月25日晚间传化智联(002010)公告称，控股子公司传化物流集团与杭州海源国际商贸有限公司签署系列协议，拟将持有的下属公司杭州众成供应链管理有限公司100%股权、下属公司沈阳传化公路港物流有限公司100%股权转让给海源商贸。交易各方经协商一致，确定众成供应链100%股权转让价格为7562.66万元，沈阳传化100%股权转让价格为596.25万元，合计8158.91万元。本次交易完成后，公司将不再持有众成供应链、沈阳传化的股权。转让两子公司根据协议，上述股权转让完成后，目标公司注册资本实缴的义务将由海源商贸完全承担。截至协议签署日，众成供应链应付传化智联及子公司的款项净额为2.29亿元，沈阳传化应付款项净额为8360.7万元。海源商贸承诺在2019年12月31日前支持并促使目标公司及时向乙方及其子公司履行上述款项的偿付义务。公告称，海源商贸本次支付股权转让款的资金来源为其自有资金或自筹资金，经过对其财务报表的分析以及基于交易对方实际控制人信用，交易对方具备支付本次股权转让款的履约能力。经传化智联测算，本次股权转让约产生投资损失574.4万元，不会对公司当期及之后的财务状况及经营业绩产生重大影响，最终投资损失金额以年度审计结果为准。传化智联表示，公司致力于打造服务产业端的智能物流服务平台，为客户提供“集、分、储、运、配”一单到底的物流供应链服务，持续帮助企业供应链降本增效。随着公司物流供应链业务的深入开展和客户对精准服务的强烈需求，为进一步提升服务的专业性和标准化，充分发挥公路港城市物流中心仓储资源和运力资源的优势，传化智联前期已经对该项业务的服务主体进行了调整，将原先由众成供应链和沈阳传化负责的部分物流供应链服务调整为由杭州传化旺载供应链发展有限公司统筹开展。众成供应链和沈阳传化经过前述调整后，已不再为客户提供“集、分、储、运、配”相关业务。为确保上市公司的业务聚焦于物流供应链业务这一主要路径，突出公司主营业务，传化智联决定转让持有众成供应链以及沈阳传化的100%股权。此次转让符合公司的长远规划和发展战略。剥离亏损资产海源商贸为传化智联控股股东传化集团有限公司的全资子公司。根据此番协议，交易双方一致同意在2019年12月31日前办理股权转让工商手续时，一并办理公司更名手续。财报显示，众成供应链2018年经审计营业收入为39.39亿元，净利润亏损409.91万元，2019年该公司再度延续亏损，未经审计净利润为-893.38万元。而沈阳传化2018年经审计亏损108.56万元，2019年未经审计净利润亏损达431.54万元。截至2019年三季度末，众成供应链与沈阳传化的负债总额分别达到5.94亿元、1.39亿元。剥离亏损资产的传化智联，近年来财报表现较为亮眼。2018年，公司实现净利润8.19亿元，同比增长74.47%。2019年前三季度，该公司实现净利润8.27亿元，同比增长104.55%。除业绩增长外，今年9月，传化智联控股子公司传化物流还引进投资者工银投资。工银投资拟以现金10亿元向传化物流进行增资，增资后持有传化物流4.58%股权，公司对传化物流仍有控股权。公告表示，工银投资对传化物流的增资款项将主要用于偿还银行对传化物流及或传化智联发放贷款形成的债权。25日晚间传化智联同时公告，控股子公司传化物流之下属公司黄石传化诚通公路港物流有限公司拟向中国工商银行股份有限公司黄石下陆支行申请5500万元的项目授信额度，业务期限为10年。同时公司控股子公司传化物流之下属公司济南传化泉胜公路港物流有限公司拟向中国工商银行股份有限公司济南天桥支行申请5300万元的项目授信额度，业务期限自合同签署之日起至2026年8月23日止，上述业务由传化物流提供连带责任担保，担保期限为自主合同项下的借款期限届满之次日2年。","该文本情感是中性的。"
"2019-12-25 20:08:10","传化智联：拟转让下属公司众成供应链及沈阳传化100%股权","传化智联(002010)12月25日晚公告，公司拟将持有的下属公司众成供应链100%股权、下属公司沈阳传化100%股权转让给海源商贸，转让价格合计8159万元。经公司测算，本次股权转让约产生投资损失574万元，不会对公司当期及之后的财务状况及经营业绩产生重大影响。","该文本情感是中性的。"
"2019-11-18 22:28:02","传化智联：传化公路港助力商贸制造企业开拓下沉市场","11月18日，中国证券报记者从传化智联(002010)处获悉，四川南充传化公路港内电商快递产业示范园的建成，有效减少了货物转运次数，使运输效率、安全保障得到有效提高，助力区域快递分拨提速30%。南充公路港副总经理龙渊表示，南充电商快递产业示范园作为川东北最大的快递产业园，目前已有知名电商快递企业20余家入驻。园区内建设有11万平米的仓储设施，合计21个标准仓，其中京东、顺丰、中通、圆通等物流企业，格力、海尔等家电企业都有专门的存储仓。同时，公路港正在开展“统仓统配”共享仓储新业态，实现运力共享，助力商贸制造企业开拓下沉市场。据了解，南充传化公路港作为区域领先的公路物流行业平台运营商，是传化智联在整个西部地区第二个战略性布局点，建设有仓储配送中心、城市物流中心、物流信息交易中心、电商快递中心、三产配套服务等十大功能模块，对川东北辐射带动作用明显。传化智联相关负责人称，随着下沉市场的潜力不断放大，无论是电商平台还是品牌商，低线城市物流、县域和乡镇物流的触达显得越来越重要。让货物在低线市场高效流通，才能提升消费者体验，才是掘金下沉市场的关键。这不仅需要健全低线城市和乡镇的物流网络，更需要仓储、运力等共享物流资源来解决业务低密度的难点，借助供应链重塑来解决环节多的痛点。集合仓储、分拨、运输、配送为一体的物流枢纽，成为快递公司和生产性企业更优的选择。","该文本情感是积极的。"
"2019-10-22 04:11:26","解决物流领域行业痛点 传化智联以科技赋能物流产业端","日前，第六届世界互联网大会在浙江乌镇举行，有近600家全球互联网企业参展。人工智能、5G、智慧物流、工业互联网、互联网公益慈善等议题精彩纷呈。在互联网大会的2号馆一楼一号展位上，传化智联重点展示的服务产业端的智能物流平台受到众多行业人士和媒体关注。打造智慧物流降低综合物流供应链成本30%-40%长期以来，公路物流市场存在行业集中度低，货物周转效率低，物流成本居高不下等问题。另外，行业基础设施陈旧、信息化程度低、信息严重不对称，空载率与超载率双高、司机信用体系建设滞后、物流金融服务匮乏等现状，也一直阻碍公路物流的向上发展。近年来，传化智联针对中国制造转型升级的难点，应用数字技术，采用平台模式，实践共享理念，开展了传化智联工业互联网平台的探索实践。区别于生产环节的工业互联网平台，传化智联重点以工业企业的供应链服务为切入，聚焦于原材料、半成品、产成品等生产资料的流通，通过平台化资源集聚、智能调度、智能监控，为工业企业提供协同、高效、低成本的一揽子供应链服务。以公路港为基础的智能物流平台便很好地解决了这些痛点。简单点讲，传化物流欲打造的服务产业端的智能物流平台，是以公路港为实体基础，在这里，货车入港可以享受车货信息交易、卡车保养、货车司机生活、零担货物的集配转运和仓储等基础服务。除了遍布全国的智能公路港网络，传化智联还搭建起了线上线下结合、服务产业端的智能物流平台。智能信息服务贯穿供应链全流程，仓配运物流服务、支付与供应链金融服务为各类企业提供一体化的平台服务，降低综合物流供应链成本30%-40%。杭州一家精细化工企业供应链负责人表示，接入传化智能物流系统后，平均订单执行时间从17小时降到13小时，发货和到货及时率从80%提升到96%，车辆平均排队提货时间从3小时减少到0.6小时。目前，这套供应链整体解决方案已经应用于化工、钢构、造纸、商贸等多个生产制造领域。除了智能物流平台，传化智联还提出多式联运解决方案，即运用多种运输工具、资源整合。不久前，杭州传化公路港沿“海上古丝绸之路”将产自东南亚吉隆坡的葵花籽油送到买家手中，多式联运物流供应链解决方案实现了为客户的综合物流成本下降15%到20%。科技赋能公路港实际上，公路也有“港”。试想一下，在公路上，司机驾驶着有自动驾驶辅助的货车一路安全抵达目的地，行驶到园区里，不需要出示任何证件即可通过进行顺畅通行。紧接着，货物在AGV的导引下井然有序的各就各位。仓库管理系统的显示大屏上，货物的卸载、入库进展、装卸工人的任务执行情况、库存信息的实时变化及现场环境每一个业务环节的高清视频画面都可以随时调出，业务状态进展数据同步刷新。园区上空，无人机在对园区车辆、安保情况进行巡逻，并实时把视频回传到后台进行分析处理；在云端，人工智能24小时不间断地进行大数据分析比对，以避免故障的发生和业务偏差。以上便是传化智联打造的公路港。所有的场景，在看起来井然有序的业务运作背后，其实是有5G网络的强大优势、超高清视频的识别能力和人工智能的超级算力在支撑……这些成果的实现和去年互联网大会上的一场“联姻”密不可分。彼时，中国电信集团投资有限公司与传化智联合资成立了天翼智联科技有限责任公司，同时揭牌成立了中国电信智慧物流应用能力中心。双方以物流行业切入，基于运营商能力，提升信息化能力。天翼智联已形成行业应用能力、标准化产品能力、资源连接能力和新技术创新能力四大核心能力，以及物流云、智慧园区、智慧物流系统、智慧物联应用、5G创新场景五大业务方向。","情感倾向是中性的。"
"2019-10-21 15:03:55","传化智联：天翼智联已完成传化智能物流全面上云项目","10月21日，中国证券报记者从传化智联(002010)获悉，由中国电信集团投资有限公司与传化智联合资成立的天翼智联，目前已完成传化智能物流全面上云项目，帮助传化打造专业高效的混合云并迁移相关海量数据。同时，天翼智联还形成了行业应用能力、标准化产品能力、资源连接能力和新技术创新能力四大核心能力，以及物流云、智慧园区、智慧物流系统、智慧物联应用、5G创新场景五大业务方向。据传化物流介绍，传化物流目前正在着手打造服务产业端智能物流平台，该平台以公路港为实体基础，货车入港可以享受车货信息交易、卡车保养、货车司机生活、零担货物的集配转运和仓储等基础服务。通过搭建线上线下结合、服务产业端的智能物流平台，将智能信息服务贯穿供应链全流程，打造仓配运物流服务、支付与供应链金融服务为各类企业提供一体化的平台服务，降低综合物流供应链成本30%-40%。","情感倾向是中性。"
"2019-09-29 19:20:12","传化智联：传化物流拟引入工银投资10亿元增资 实施市场化债转股","传化智联(002010)9月29日晚间公告，控股子公司传化物流拟引进投资者工银投资，工银投资拟以现金10亿元向传化物流进行增资，增资后持有传化物流4.58%股权，公司对传化物流仍有控股权。工银投资对传化物流的增资款项将主要用于偿还银行对传化物流/及或传化智联发放贷款形成的债权。","该文本情感是中性的。"
"2019-09-18 18:19:24","传化智联：公路港流量开始变现，业绩将开启高增长模式","招商证券发布传化智联的研报指出，公司以线上平台+线下实体公路港和供应链物流的模式整合公路货运市场，构筑全新智能物流生态圈。前期因大型实体公路港投入较大，早期处于亏损阶段，市场普遍对公司比较悲观。但公司顺应市场，主动调整商业模式，强化了仓干配运输一体化，发挥自身无车承运人优势拓展业务，商业模式终于理顺。随着公路港不断运营成熟、资本开支放缓，公路港流量开始变现，业绩将开启高增长模式。预计2019-21年分别实现EPS为0.35/0.58/0.67元，对应当前股价PE为23.6/14.2/12.2x。公司业绩增长提速，重资产投入构筑强大竞争壁垒，给予目标价12元，首次覆盖给予“强烈推荐-A”评级。","以上文本情感是积极的。"
"2019-09-16 20:15:00","传化智联股份有限公司关于参股公司首次公开发行股票获得中国证监会发审会审核通过的公告","股票代码：002010 股票简称：传化智联公告编号：2019-065传化智联股份有限公司关于参股公司首次公开发行股票获得中国证监会发审会审核通过的公告本公司及董事会全体成员保证信息披露内容真实、准确、完整，没有虚假记载、误导性陈述或者重大遗漏。传化智联股份有限公司(以下简称“公司”)参股公司江苏锦鸡实业股份有限公司(以下简称“锦鸡实业”)首次公开发行股票申请已于2019年9月12日经中国证券监督管理委员会第十八届发行审核委员会2019年第129次工作会议审核通过。公司持有锦鸡实业的股份6,100.2976万股，占该公司发行前总股本16.2255%，公司持有的该部分股权自锦鸡实业上市之日起12个月内不得转让。因目前锦鸡实业的股份发行价格尚未确定，对公司未来财务状况和经营成果的影响暂时无法预计。公司将根据后续进展情况及时履行信息披露义务，请广大投资者注意投资风险。特此公告。传化智联股份有限公司董事会2019年9月16日","情感倾向是中性。"
"2019-09-15 16:43:05","传化智联：参股公司锦鸡实业IPO申请获通过","传化智联(002010)9月15日晚间公告，公司参股公司江苏锦鸡实业股份有限公司(简称“锦鸡实业”)首次公开发行股票(IPO)申请已于9月12日经证监会发审委审核通过。公司持有锦鸡实业的股份6100.30万股，占该公司发行前总股本的16.23%，公司持有的该部分股权自锦鸡实业上市之日起12个月内不得转让。","情感倾向是中性。"
